question,answers,id
what is the name of justin bieber brother?,"[""Jazmyn Bieber"", ""Jaxon Bieber""]",1
what character did natalie portman play in star wars?,"[""Padmé Amidala""]",2
what state does selena gomez?,"[""New York City""]",3
what country is the grand bahama island in?,"[""Bahamas""]",4
what kind of money to take to bahamas?,"[""Bahamian dollar""]",5
what character did john noble play in lord of the rings?,"[""Denethor II""]",6
who does joakim noah play for?,"[""Chicago Bulls""]",7
where are the nfl redskins from?,"[""Washington Redskins""]",8
where did saki live?,"[""United Kingdom""]",9
how old is sacha baron cohen?,"[""http://justjared.buzznet.com/2009/01/12/sacha-baron-cohen-insults-madonna-at-golden-globes/""]",10
what two countries invaded poland in the beginning of ww2?,"[""Germany""]",11
what time zone am i in cleveland ohio?,"[""North American Eastern Time Zone""]",12
who did draco malloy end up marrying?,"[""Astoria Greengrass""]",13
which countries border the us?,"[""Canada""]",14
where is rome italy located on a map?,"[""Rome""]",15
what is nina dobrev nationality?,"[""Bulgaria""]",16
what country does iceland belong to?,"[""Iceland""]",17
which kennedy died first?,"[""John F. Kennedy""]",18
what books did beverly cleary right?,"[""Ramona's World"", ""Ramona Quimby, Age 8"", ""Ralph S. Mouse"", ""Runaway Ralph"", ""Ribsy"", ""Sister of the Bride"", ""Ellen Tebbits"", ""Dear Mr. Henshaw"", ""The Mouse and the Motorcycle"", ""Beezus and Ramona""]",19
who did the philippines gain independence from?,"[""United States of America""]",20
where to fly into bali?,"[""Ngurah Rai Airport""]",21
who is the prime minister of ethiopia?,"[""Hailemariam Desalegn""]",22
what to see near sedona arizona?,"[""Sedona Airport"", ""Red Rock State Park"", ""Seven Canyons"", ""Honanki"", ""Cathedral Rock"", ""Chapel of the Holy Cross"", ""Sycamore Canyon"", ""Oak Creek Canyon"", ""Slide Rock State Park"", ""Bell Rock""]",23
what high school did president bill clinton attend?,"[""Hot Springs High School""]",24
what form of government does russia have today?,"[""Constitutional republic""]",25
what movies does taylor lautner play in?,"[""Abduction"", ""Eclipse"", ""Valentine's Day"", ""The Twilight Saga: Breaking Dawn - Part 1"", ""New Moon""]",26
what year lebron james came to the nba?,"[""2003–04 NBA season""]",27
what did the german revolution lead to?,"[""German Democratic Republic""]",28
how much did adriana lima gain during pregnancy?,"[""Spike Guys' Choice Awards""]",29
what does thai mean?,"[""Language""]",30
which wife did king henry behead?,"[""Anne of the Thousand Days""]",31
who was ishmael's mom?,"[""Hagar""]",32
what was malcolm x trying to accomplish?,"[""African Americans' rights"", ""Black Liberation""]",33
where are the netherlands on a world map?,"[""Kingdom of the Netherlands""]",34
what is the president of brazil?,"[""Dilma Rousseff""]",35
what are the major cities in france?,"[""Paris""]",36
what city did esther live in?,"[""Susa""]",37
what sport do the toronto maple leafs play?,"[""Ice Hockey""]",38
what is saint nicholas known for?,"[""Grand Duke Alexander Alexandrovich of Russia""]",39
when is the new series of the only way is essex starting?,"[""West Horndon""]",40
what is cher's son's name?,"[""Elijah Blue Allman"", ""Chaz Bono""]",41
what is martin cooper doing now?,"[""Inventor""]",42
what party was andrew jackson?,"[""Democratic-Republican Party"", ""Democratic Party"", ""Jacksonian Democratic Party""]",43
what is medicare a?,"[""Centers for Medicare and Medicaid Services""]",44
what county is the city of hampton va in?,"[""Hampton""]",45
what is the name of the first harry potter novel?,"[""Harry Potter and the Philosopher's Stone""]",46
what did william shakespeare do for a living?,"[""Poet"", ""Playwright"", ""Dramatist"", ""Lyricist"", ""Author""]",47
what county is heathrow airport in?,"[""London""]",48
